evaluation_split,model_name,model_family,training_rows,deployable,pr_auc,roc_auc,best_threshold,best_precision,best_recall,best_f1_score,predicted_positive_rate_at_best_threshold,notes,business_score
validation,Tuned XGBoost,Boosting,542130,True,0.06251185478766783,0.8030339994544723,0.98,0.17543859649122806,0.12562814070351758,0.14641288433382138,0.0010056031501841842,"RandomizedSearchCV tuned XGBoost, retrained on full training data.",0.14480309643618064
validation,Probability Average Ensemble,Ensemble check,542130,False,0.06602662394688094,0.7930639242840873,0.9,0.1414141414141414,0.1407035175879397,0.14105793450881612,0.0013972591139401296,Average of Tuned Random Forest and Tuned XGBoost probabilities. Used as comparison only.,0.13992985443446385
validation,Tuned Random Forest,Random Forest,542130,True,0.06452492146753008,0.7467832130967259,0.85,0.14214463840399003,0.14321608040201006,0.14267834793491865,0.0014149012744696767,"RandomizedSearchCV tuned Random Forest, retrained on full training data.",0.13766137947639942
validation,XGBoost Baseline,Boosting,542130,True,0.06216049018015237,0.7543489112334341,0.97,0.1598639455782313,0.11809045226130653,0.13583815028901733,0.001037359039137369,XGBoost baseline with scale_pos_weight for imbalance.,0.1363252256792455
validation,Random Forest Class Weight,Random Forest,542130,True,0.05584520887323339,0.7529186945064031,0.85,0.19895287958115182,0.09547738693467336,0.12903225806451613,0.0006739305322286988,Random Forest with class_weight='balanced_subsample'.,0.13610275742153646
validation,SMOTE Logistic Regression Sample,Imbalance handling,80000,True,0.04206279721217823,0.7991538444410994,0.99,0.06294416243654823,0.15577889447236182,0.08966015907447578,0.0034755056243207768,SMOTE + Logistic Regression trained on a sample for imbalance coverage.,0.10301456777897823
validation,Logistic Regression Class Weight,Linear baseline,542130,True,0.036188784755257136,0.8032440499685138,0.99,0.05378151260504202,0.16080402010050251,0.08060453400503778,0.004198834206032207,Imbalance-aware Logistic Regression using class_weight='balanced'.,0.09673594373558417
validation,Existing Champion Model,Legacy artifact,0,False,0.02624476997162522,0.7857125025297503,0.99,0.05390625,0.17336683417085427,0.08224076281287247,0.004516393095564055,Legacy champion trained before leakage remediation. Evaluated for reference only and excluded from final selection.,0.09252227966612334
