date,target_name,model_name,actual_value,predicted_value,data_split,is_best_model
2015-10-01,event_volume,ARIMA,,0.0,future,False
2015-10-02,event_volume,ARIMA,,0.0,future,False
2015-09-19,event_volume,Prophet,,12398.20572701867,future,True
2015-09-20,event_volume,Prophet,,12977.022628347324,future,True
2015-09-21,event_volume,Prophet,,18200.816617592944,future,True
2015-09-22,event_volume,Prophet,,18514.830011069032,future,True
2015-09-23,event_volume,Prophet,,17667.544302169026,future,True
2015-09-24,event_volume,Prophet,,17001.06863738035,future,True
2015-09-25,event_volume,Prophet,,14998.8092106577,future,True
2015-09-26,event_volume,Prophet,,11845.587872159005,future,True
2015-09-27,event_volume,Prophet,,12424.404773488692,future,True
2015-09-28,event_volume,Prophet,,17648.198762725722,future,True
2015-09-29,event_volume,Prophet,,17962.212156206868,future,True
2015-09-30,event_volume,Prophet,,17114.926447307455,future,True
2015-10-01,event_volume,Prophet,,16448.450782518066,future,True
2015-10-02,event_volume,Prophet,,14446.191355791889,future,True
2015-09-19,event_volume,XGBoost Time-Series,,2497.417724609375,future,False
2015-09-20,event_volume,XGBoost Time-Series,,2989.72314453125,future,False
2015-09-21,event_volume,XGBoost Time-Series,,3735.418701171875,future,False
2015-09-22,event_volume,XGBoost Time-Series,,9842.0107421875,future,False
2015-09-23,event_volume,XGBoost Time-Series,,9253.6875,future,False
2015-09-24,event_volume,XGBoost Time-Series,,8698.986328125,future,False
2015-09-25,event_volume,XGBoost Time-Series,,8707.83203125,future,False
2015-09-26,event_volume,XGBoost Time-Series,,7294.900390625,future,False
2015-09-27,event_volume,XGBoost Time-Series,,3089.62548828125,future,False
2015-09-28,event_volume,XGBoost Time-Series,,3756.97119140625,future,False
2015-09-29,event_volume,XGBoost Time-Series,,10304.8076171875,future,False
2015-09-30,event_volume,XGBoost Time-Series,,9678.8515625,future,False
2015-10-01,event_volume,XGBoost Time-Series,,4264.0986328125,future,False
2015-10-02,event_volume,XGBoost Time-Series,,4264.0986328125,future,False
2015-09-19,converted_visitor_count,Rolling Average Baseline,,60.285714285714285,future,False
2015-09-20,converted_visitor_count,Rolling Average Baseline,,59.326530612244895,future,False
2015-09-21,converted_visitor_count,Rolling Average Baseline,,58.944606413994165,future,False
2015-09-22,converted_visitor_count,Rolling Average Baseline,,53.93669304456476,future,False
2015-09-23,converted_visitor_count,Rolling Average Baseline,,48.9276491937883,future,False
2015-09-24,converted_visitor_count,Rolling Average Baseline,,45.91731336432948,future,False
