model_name,seed,test_rows,positive_rate,pr_auc,roc_auc
Tuned XGBoost,11,50000,0.00152,0.08131526345315232,0.7939937125483367
Tuned Random Forest,11,50000,0.00152,0.0802774440145185,0.7771048836336495
XGBoost Baseline,11,50000,0.00152,0.05020672647740808,0.7654575744605485
Tuned XGBoost,22,50000,0.00152,0.12197656859415007,0.8236151845542066
Tuned Random Forest,22,50000,0.00152,0.10606609384947774,0.7752457419488148
XGBoost Baseline,22,50000,0.00152,0.10988090796149358,0.7225370721391251
Tuned XGBoost,33,50000,0.00152,0.07832690866364622,0.8409096300060301
Tuned Random Forest,33,50000,0.00152,0.09122816617477725,0.8054869717760471
XGBoost Baseline,33,50000,0.00152,0.11396602421334545,0.7707436355892535
