model_name,threshold,precision,recall,f1_score,predicted_positive_rate
Tuned Random Forest,0.15,0.0026262090169559766,0.7211055276381909,0.005233358558000018,0.3855976458300989
Tuned Random Forest,0.2,0.0037655231771793925,0.6155778894472361,0.007485258623323455,0.22957390653889037
Tuned Random Forest,0.25,0.004992770648834267,0.5552763819095478,0.009896556356634275,0.1561825187359745
Tuned Random Forest,0.3,0.006005548273023809,0.4949748743718593,0.011867112436372399,0.11574315837014665
Tuned Random Forest,0.35,0.007285089849441476,0.45226130653266333,0.014339201784434,0.0871805004728099
Tuned Random Forest,0.4,0.00829141562102703,0.3768844221105528,0.01622586402725945,0.06383286522800728
Tuned Random Forest,0.45,0.010583219125932694,0.3492462311557789,0.020543895950339935,0.046342427279014296
Tuned Random Forest,0.5,0.013137151865475564,0.314070351758794,0.02521940885705639,0.03357303148772811
Tuned Random Forest,0.55,0.016944069575648524,0.28391959798994976,0.031979623602660254,0.02353111371430991
Tuned Random Forest,0.6,0.02198505869797225,0.25879396984924624,0.04052724768837301,0.016530704416185624
Tuned Random Forest,0.65,0.02956810631229236,0.2236180904522613,0.052230046948356805,0.010620580638787349
Tuned Random Forest,0.7,0.04226859283039058,0.1984924623115578,0.06969563299514778,0.006594639605944703
Tuned Random Forest,0.75,0.059473237043330504,0.17587939698492464,0.08888888888888889,0.004152964588655385
Tuned Random Forest,0.8,0.09779179810725552,0.15577889447236182,0.12015503875968993,0.002237025955146571
Tuned Random Forest,0.85,0.14214463840399003,0.14321608040201006,0.14267834793491865,0.0014149012744696767
Tuned Random Forest,0.9,0.16911764705882354,0.11557788944723618,0.1373134328358209,0.0009597335328073618
Tuned Random Forest,0.95,0.21243523316062177,0.10301507537688442,0.13874788494077833,0.0006809873964405177
Tuned Random Forest,0.97,0.23030303030303031,0.09547738693467336,0.1349911190053286,0.0005821912974750539
Tuned Random Forest,0.98,0.24427480916030533,0.08040201005025126,0.12098298676748583,0.00046222460587413375
Tuned Random Forest,0.99,0.32786885245901637,0.05025125628140704,0.08714596949891068,0.0002152343584604745
